split,game,half_file,run_dir,frames_processed,goal_events_count,field_calibration_refresh_successes,field_registered_ratio,home_tracks,away_tracks,team_cluster_distance,overlay_video,entropy_timeseries_csv,goal_events_csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,1_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/001_9994893937_1,67500,1,4679,0.9154,2120,2728,0.1945,/runs/001_9994893937_1/outputs/overlay.mp4,/runs/001_9994893937_1/outputs/entropy_timeseries.csv,/runs/001_9994893937_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,2_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/001_9994893937_2,67500,1,4200,0.9163,2101,3047,0.2084,/runs/001_9994893937_2/outputs/overlay.mp4,/runs/001_9994893937_2/outputs/entropy_timeseries.csv,/runs/001_9994893937_2/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,1_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/002_a1c4711625_1,69175,2,3388,0.9008,4492,3803,0.4016,/runs/002_a1c4711625_1/outputs/overlay.mp4,/runs/002_a1c4711625_1/outputs/entropy_timeseries.csv,/runs/002_a1c4711625_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,2_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/002_a1c4711625_2,74350,1,3562,0.913,5138,3587,0.4787,/runs/002_a1c4711625_2/outputs/overlay.mp4,/runs/002_a1c4711625_2/outputs/entropy_timeseries.csv,/runs/002_a1c4711625_2/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United,1_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/003_680efae59f_1,68125,2,3842,0.9076,4218,2088,0.3856,/runs/003_680efae59f_1/outputs/overlay.mp4,/runs/003_680efae59f_1/outputs/entropy_timeseries.csv,/runs/003_680efae59f_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United,2_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/003_680efae59f_2,73425,1,4102,0.9085,4614,1884,0.3781,/runs/003_680efae59f_2/outputs/overlay.mp4,/runs/003_680efae59f_2/outputs/entropy_timeseries.csv,/runs/003_680efae59f_2/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool,1_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/004_fd9d17309a_1,67500,1,3921,0.8955,2710,3110,0.3013,/runs/004_fd9d17309a_1/outputs/overlay.mp4,/runs/004_fd9d17309a_1/outputs/entropy_timeseries.csv,/runs/004_fd9d17309a_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool,2_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/004_fd9d17309a_2,70025,1,3622,0.9036,2860,3056,0.3078,/runs/004_fd9d17309a_2/outputs/overlay.mp4,/runs/004_fd9d17309a_2/outputs/entropy_timeseries.csv,/runs/004_fd9d17309a_2/outputs/goal_events.csv
train,england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/005_109355c3e7_1,71125,3,3523,0.8887,3691,3620,0.3183,/runs/005_109355c3e7_1/outputs/overlay.mp4,/runs/005_109355c3e7_1/outputs/entropy_timeseries.csv,/runs/005_109355c3e7_1/outputs/goal_events.csv
train,england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,2_720p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_10_goalaligned_v1_20260308_052341/runs/005_109355c3e7_2,72850,1,3355,0.8825,3601,3524,0.3071,/runs/005_109355c3e7_2/outputs/overlay.mp4,/runs/005_109355c3e7_2/outputs/entropy_timeseries.csv,/runs/005_109355c3e7_2/outputs/goal_events.csv
